symbol,name,mint,decimals,category
MRVLon,Marvell,FovBwhoV5KQjZCdhoM6jgXYwXLX3F8vgAfvmLH7ondo,9,stock
MSFTon,Microsoft,FRmH6iRkMr33DLG6zVLR7EM4LojBFAuq6NtFzG6ondo,9,stock
NFLXon,Netflix,g4KnPrxPLeeKkwvDmZFMtYQPM64eHeShbD55vK6ondo,9,stock
NKEon,Nike,g646pcdG2Rt5DH9WZzL7VVnVDWCCMTTrnktwE74ondo,9,stock
NVOon,Novo Nordisk,GeV7S8vjP8qdYZpdGv2Xi6e7MUMCk8NAAp2z7g5ondo,9,stock
PFEon,Pfizer,Gwh9fPsX1qWATXy63vNaJnAFfwebWQtZaVmPko6ondo,9,stock
PLTRon,Palantir,HfsnTS5qtdStwec9DfBrunRqnAMYMMz1kjv9Hu9ondo,9,stock
PYPLon,PayPal,hM7B3UQTTR81mS27SxDDPzBbjejmo8fnpFjzgv9ondo,9,stock
SHOPon,Shopify,ivdDracs2s7jCP698dJXKSEQdVrNj9hasJL1Uq1ondo,9,stock
SLVon,Silver ETF,iy11ytbSGcUnrjE6Lfv78TFqxKyUESfku1FugS9ondo,9,stock
SNOWon,Snowflake,JmFLCBwoNvcXy6B2VqABg6m784ubkXpaEx3p7S5ondo,9,stock
SPOTon,Spotify,jzCvs2Pk8tDcfsFRqnEMjurgaQW4iQfEkandUR8ondo,9,stock
TLTon,Treasury Bond ETF,KaSLSWByKy6b9FrCYXPEJoHmLpuFZtTCJk1F1Z9ondo,9,stock
TQQQon,ProShares UltraPro QQQ,14W1itEkV7k1W819mLSknFTaMmkCtPokbF2tRkPUondo,9,stock
UBERon,Uber,KJNeFW3kk3ycPjXpC6cbuyckjeYHacc2ekhtAi5ondo,9,stock
Von,Visa,kxEW4oJL75K37VeXaZF1ynbHQATQwhECQKN1374ondo,9,stock
VTIon,Total Stock Market ETF,jCCU4GwukjNxAXJowG2S4KCrr5g6YyUB61WHYvGondo,9,stock
XOMon,Exxon Mobil,qCYD74QnXzd9pzv6pGHQKJVwoibL6sNcPQDnpDiondo,9,stock
